,score,n_frames,min_coef
31,0.8492034340821671,3,0.9
29,0.8487423894807155,3,0.7000000000000001
30,0.8481281199217557,3,0.8
32,0.847937965020291,3,1.0
35,0.8439258920112067,4,0.2
26,0.8432426656475199,3,0.4
22,0.8432426656475199,3,0.0
20,0.8432426656475199,2,0.9
19,0.8432426656475199,2,0.8
18,0.8432426656475199,2,0.7000000000000001
17,0.8432426656475199,2,0.6000000000000001
16,0.8432426656475199,2,0.5
25,0.8432426656475199,3,0.30000000000000004
28,0.8432426656475199,3,0.6000000000000001
27,0.8432426656475199,3,0.5
24,0.8432426656475199,3,0.2
33,0.8432426656475199,4,0.0
34,0.8432426656475199,4,0.1
23,0.8432426656475199,3,0.1
21,0.8428966448862744,2,1.0
44,0.8422038811137048,5,0.0
36,0.8418409926793547,4,0.30000000000000004
45,0.8416649363413266,5,0.1
46,0.8415201833742529,5,0.2
55,0.8415201833742529,6,0.0
37,0.8405755236174786,4,0.4
38,0.8389517970944731,4,0.5
39,0.8389517970944731,4,0.6000000000000001
56,0.8363960906806328,6,0.1
48,0.8359580378424036,5,0.4
47,0.8357167365860537,5,0.30000000000000004
15,0.8344008422520574,2,0.4
40,0.8333007330254281,4,0.7000000000000001
66,0.8326183923367072,7,0.0
41,0.830949054661174,4,0.8
57,0.8300629808131876,6,0.2
49,0.8286970763824663,5,0.5
67,0.8286556912935866,7,0.1
58,0.8265329471624717,6,0.30000000000000004
42,0.8260310645290543,4,0.9
59,0.8250597915922508,6,0.4
77,0.8249087699114372,8,0.0
68,0.8236883959751806,7,0.2
60,0.8230408354505988,6,0.5
50,0.8224932200958193,5,0.6000000000000001
51,0.8224932200958193,5,0.7000000000000001
78,0.8221753797541016,8,0.1
61,0.8217104710806498,6,0.6000000000000001
52,0.8212916255022856,5,0.8
53,0.821121661079068,5,0.9
88,0.8208850394346918,9,0.0
69,0.8204222693269709,7,0.30000000000000004
54,0.8198561920171917,5,1.0
62,0.8197362926768939,6,0.7000000000000001
63,0.8192081236628093,6,0.8
43,0.8187267430580875,4,1.0
64,0.8186272431702732,6,0.9
79,0.8177005323585689,8,0.2
89,0.8171723633444845,9,0.1
99,0.8168729621468798,10,0.0
65,0.8168679879580699,6,1.0
70,0.8164034331263764,7,0.4
71,0.8161746653098968,7,0.5
0,0.8153478465062595,1,1.0
1,0.8153478465062595,1,1.0
14,0.8153478465062595,2,0.30000000000000004
5,0.8153478465062595,1,1.0
6,0.8153478465062595,1,1.0
7,0.8153478465062595,1,1.0
4,0.8153478465062595,1,1.0
3,0.8153478465062595,1,1.0
2,0.8153478465062595,1,1.0
8,0.8153478465062595,1,1.0
9,0.8153478465062595,1,1.0
10,0.8153478465062595,1,1.0
11,0.8153478465062595,2,0.0
12,0.8153478465062595,2,0.1
13,0.8153478465062595,2,0.2
80,0.8152360974679331,8,0.30000000000000004
72,0.8136278639365433,7,0.6000000000000001
73,0.8127023237211022,7,0.7000000000000001
90,0.8122954715302818,9,0.2
81,0.8117938616114333,8,0.4
100,0.8102664701247395,10,0.1
74,0.8101671813739575,7,0.8
75,0.8088793064196407,7,0.9
82,0.8075588180766257,8,0.5
91,0.806533606620482,9,0.30000000000000004
76,0.8051866073108161,7,1.0
101,0.8039296532375335,10,0.2
83,0.8037988083918186,8,0.6000000000000001
92,0.8022114957858619,9,0.4
84,0.8000120397580593,8,0.7000000000000001
102,0.799776839828159,10,0.30000000000000004
93,0.799320161635249,9,0.5
85,0.7961157150024099,8,0.8
94,0.7940216414898658,9,0.6000000000000001
86,0.7926082870978505,8,0.9
103,0.7919978745590848,10,0.4
87,0.7863973815530942,8,1.0
104,0.7839910423722037,10,0.5
95,0.7834157501961873,9,0.7000000000000001
96,0.7823903753403625,9,0.8
97,0.7804079934984612,9,0.9
105,0.7794104588635544,10,0.6000000000000001
98,0.7781321389740848,9,1.0
106,0.7754493217294695,10,0.7000000000000001
107,0.7730087372566368,10,0.8
108,0.7694051471270853,10,0.9
109,0.765138500464358,10,1.0
