,score,n_frames,min_coef
4,0.9250518211758522,1,1.0
11,0.9228262612954566,2,0.0
14,0.922385410554709,2,0.30000000000000004
7,0.9189642177249707,1,1.0
2,0.9177194242303651,1,1.0
10,0.9169512394206221,1,1.0
5,0.9169314625756595,1,1.0
13,0.914117454513746,2,0.2
12,0.9140038932660908,2,0.1
9,0.9136860788638252,1,1.0
6,0.913449111020155,1,1.0
3,0.9126133836619514,1,1.0
0,0.9115989339864289,1,1.0
1,0.9108440377670164,1,1.0
8,0.9104826673950568,1,1.0
15,0.8926692273957244,2,0.4
16,0.8825753690578366,2,0.5
18,0.8807428132691619,2,0.7000000000000001
25,0.8764419923732734,3,0.30000000000000004
20,0.8760871099301404,2,0.9
23,0.8735585536787193,3,0.1
33,0.8709686082052727,4,0.0
24,0.8709636582769893,3,0.2
17,0.8702195487307588,2,0.6000000000000001
19,0.8688944745893308,2,0.8
21,0.8680670627872515,2,1.0
22,0.8667668360930018,3,0.0
26,0.8663809097744538,3,0.4
28,0.8648752788179925,3,0.6000000000000001
34,0.8636866960047895,4,0.1
27,0.8612225626021477,3,0.5
35,0.8540757586968205,4,0.2
36,0.8446684303414678,4,0.30000000000000004
29,0.8401908319569584,3,0.7000000000000001
30,0.8352670561670074,3,0.8
31,0.8345458417279292,3,0.9
44,0.8312693213130988,5,0.0
32,0.8260898936186326,3,1.0
47,0.8221050706644266,5,0.30000000000000004
38,0.8210350283965635,4,0.5
39,0.8201569422810632,4,0.6000000000000001
46,0.8156965131853677,5,0.2
37,0.8141903144124782,4,0.4
55,0.8140853092421161,6,0.0
40,0.8134526336807589,4,0.7000000000000001
45,0.8117925536822439,5,0.1
56,0.8043678872412204,6,0.1
42,0.799209239179989,4,0.9
41,0.7944901065058798,4,0.8
48,0.7796489899920728,5,0.4
43,0.776049842169519,4,1.0
66,0.7753762925801696,7,0.0
57,0.7710023427644621,6,0.2
51,0.7676288951364304,5,0.7000000000000001
78,0.7671036697418407,8,0.1
68,0.7629310057795136,7,0.2
49,0.760404449871267,5,0.5
67,0.7603542406609707,7,0.1
77,0.7592874509353011,8,0.0
59,0.7511744927055932,6,0.4
52,0.7479501579751282,5,0.8
58,0.747290013340863,6,0.30000000000000004
50,0.7455509004753142,5,0.6000000000000001
53,0.7435790406348215,5,0.9
60,0.7398379918496211,6,0.5
69,0.7338996839301816,7,0.30000000000000004
61,0.7323937941482532,6,0.6000000000000001
54,0.7304719431137794,5,1.0
89,0.7232479284059863,9,0.1
88,0.7209231445458419,9,0.0
62,0.7193146781351057,6,0.7000000000000001
70,0.7193096101087222,7,0.4
63,0.7190749733497882,6,0.8
80,0.7120427497408964,8,0.30000000000000004
79,0.711065440390547,8,0.2
71,0.7104561562752962,7,0.5
90,0.7068991628525931,9,0.2
64,0.7024714954692236,6,0.9
65,0.7019597506850181,6,1.0
73,0.6911928199066095,7,0.7000000000000001
72,0.6876672679066376,7,0.6000000000000001
74,0.6866980308292627,7,0.8
81,0.6783536307746834,8,0.4
91,0.672853521877823,9,0.30000000000000004
83,0.6628648280888566,8,0.6000000000000001
75,0.662458466551349,7,0.9
76,0.6587175152006813,7,1.0
82,0.6586906415421323,8,0.5
84,0.6557672905901768,8,0.7000000000000001
92,0.6493298191382941,9,0.4
85,0.6411460513887086,8,0.8
86,0.6266636171954972,8,0.9
93,0.619890056368152,9,0.5
87,0.6185176855743326,8,1.0
94,0.6120257294713217,9,0.6000000000000001
95,0.6075640882618261,9,0.7000000000000001
96,0.6037492499560692,9,0.8
97,0.5773528887483694,9,0.9
98,0.57171424923975,9,1.0
