,score,n_frames,min_coef
97,0.9186089710287183,9,0.9
91,0.9177627625348878,9,0.30000000000000004
90,0.9176996043598958,9,0.2
105,0.9175115762399392,10,0.6000000000000001
65,0.9163286373828855,6,1.0
83,0.9158949048429168,8,0.6000000000000001
102,0.9155209394709478,10,0.30000000000000004
89,0.9152225604404596,9,0.1
82,0.9150869099192794,8,0.5
68,0.9139811660841449,7,0.2
64,0.9137698645780737,6,0.9
98,0.9135924633126515,9,1.0
74,0.9131223618408525,7,0.8
103,0.9129185974129748,10,0.4
62,0.9127242237490603,6,0.7000000000000001
92,0.9123314732381512,9,0.4
79,0.9119709058352319,8,0.2
104,0.9118940321050875,10,0.5
60,0.9117606079951827,6,0.5
95,0.9110696723367049,9,0.7000000000000001
96,0.9109618937081757,9,0.8
63,0.9109037978550034,6,0.8
109,0.910193620084996,10,1.0
75,0.9100156761511766,7,0.9
81,0.9099883156670442,8,0.4
101,0.9099606926756492,10,0.2
87,0.9098868662895138,8,1.0
108,0.9096976718953804,10,0.9
73,0.9096872786977833,7,0.7000000000000001
100,0.9095840080778246,10,0.1
57,0.9094618514029502,6,0.2
77,0.9094535007768283,8,0.0
106,0.9088435158982374,10,0.7000000000000001
93,0.9088274519867389,9,0.5
76,0.9087892872302318,7,1.0
69,0.9086364413515671,7,0.30000000000000004
61,0.9085137547295663,6,0.6000000000000001
107,0.9081489364985421,10,0.8
58,0.9080066488082827,6,0.30000000000000004
50,0.907425807552986,5,0.6000000000000001
80,0.9073838713803346,8,0.30000000000000004
94,0.907127066943357,9,0.6000000000000001
67,0.9063094797985809,7,0.1
85,0.905713174154496,8,0.8
70,0.9056532622966955,7,0.4
47,0.9054867499521831,5,0.30000000000000004
55,0.9054643040584018,6,0.0
72,0.9053706194065889,7,0.6000000000000001
99,0.9048220075592116,10,0.0
59,0.9045703173759236,6,0.4
88,0.9045521752823935,9,0.0
78,0.9045000165415008,8,0.1
54,0.9042087210410388,5,1.0
84,0.902897547988783,8,0.7000000000000001
51,0.9026435627846041,5,0.7000000000000001
48,0.9025096566372228,5,0.4
43,0.9024706196754915,4,1.0
71,0.9024351745433858,7,0.5
40,0.9013297372970044,4,0.7000000000000001
66,0.9012473564452254,7,0.0
56,0.9011875202507055,6,0.1
36,0.901112424186425,4,0.30000000000000004
39,0.9009655233746446,4,0.6000000000000001
27,0.8994831061889863,3,0.5
49,0.8993089308023124,5,0.5
46,0.8990218393084755,5,0.2
33,0.8983749621741325,4,0.0
41,0.898196722212564,4,0.8
32,0.8971638107024903,3,1.0
86,0.8970165083418244,8,0.9
31,0.8968682946942081,3,0.9
1,0.8968287630826829,1,1.0
30,0.8968029748011427,3,0.8
42,0.8964584081887855,4,0.9
53,0.895961260665425,5,0.9
52,0.8956193471137033,5,0.8
24,0.8956064704875086,3,0.2
7,0.8954270032076938,1,1.0
38,0.8949869095134414,4,0.5
44,0.894495762955388,5,0.0
12,0.8939523948750299,2,0.1
34,0.8937650798772182,4,0.1
11,0.8933766452960079,2,0.0
9,0.8928603525738913,1,1.0
37,0.8927269363988104,4,0.4
0,0.8924288484645068,1,1.0
25,0.8923760520851998,3,0.30000000000000004
5,0.8920256518120059,1,1.0
3,0.8919876194189753,1,1.0
4,0.8918371486640609,1,1.0
26,0.8913044060530749,3,0.4
35,0.8904627983154072,4,0.2
22,0.8901789548187992,3,0.0
8,0.8896037652410754,1,1.0
6,0.8894367414265009,1,1.0
16,0.8892427785279203,2,0.5
28,0.8884691404670093,3,0.6000000000000001
14,0.8880209139936415,2,0.30000000000000004
10,0.8877346282987236,1,1.0
2,0.8862438757139538,1,1.0
23,0.8861777569539241,3,0.1
45,0.8855132280613025,5,0.1
13,0.8852012642577975,2,0.2
15,0.8842268113115773,2,0.4
29,0.8822534371888155,3,0.7000000000000001
21,0.8820024331109455,2,1.0
19,0.8760465520140377,2,0.8
17,0.875767905305921,2,0.6000000000000001
20,0.8730551629177891,2,0.9
18,0.8715115722241779,2,0.7000000000000001
