,score,n_frames,min_coef
97,0.9199604864416792,9,0.9
98,0.9194855840312709,9,1.0
101,0.9189334260327098,10,0.2
91,0.9186919479646857,9,0.30000000000000004
96,0.9184825481167656,9,0.8
105,0.9165950676773074,10,0.6000000000000001
82,0.9165310260058064,8,0.5
83,0.9159766143864658,8,0.6000000000000001
109,0.9159594203008338,10,1.0
106,0.9159017017780512,10,0.7000000000000001
92,0.9156039855023149,9,0.4
95,0.915191124920501,9,0.7000000000000001
75,0.915018632352535,7,0.9
81,0.9148608398909023,8,0.4
104,0.9146854640180369,10,0.5
100,0.9144289207187534,10,0.1
87,0.9144230462632071,8,1.0
102,0.914035754898688,10,0.30000000000000004
74,0.9139544209128208,7,0.8
84,0.9138949551305299,8,0.7000000000000001
85,0.9138154485124105,8,0.8
90,0.9136068285912688,9,0.2
65,0.9134954492884235,6,1.0
72,0.9133840561206338,7,0.6000000000000001
76,0.9133176369529185,7,1.0
93,0.9131018381958838,9,0.5
73,0.9127116551271272,7,0.7000000000000001
108,0.9125178000984956,10,0.9
107,0.9120968223209454,10,0.8
94,0.9118316622952672,9,0.6000000000000001
86,0.9117768568804696,8,0.9
70,0.9117279003148069,7,0.4
64,0.9116825616393898,6,0.9
63,0.9113001712330616,6,0.8
103,0.9111708914466894,10,0.4
71,0.9106730755545185,7,0.5
62,0.9105854489044798,6,0.7000000000000001
80,0.9103637132828932,8,0.30000000000000004
89,0.9100722176315171,9,0.1
79,0.9098187456283299,8,0.2
69,0.9096983819118867,7,0.30000000000000004
99,0.9094687247407707,10,0.0
61,0.9092468627373302,6,0.6000000000000001
78,0.9091160515404348,8,0.1
88,0.9082545007527945,9,0.0
60,0.9080569447777457,6,0.5
68,0.9072040361384248,7,0.2
77,0.9054592380058992,8,0.0
59,0.9046138134031795,6,0.4
50,0.9037684503547763,5,0.6000000000000001
58,0.9037195682582254,6,0.30000000000000004
67,0.9033625578181352,7,0.1
51,0.9032497748428794,5,0.7000000000000001
57,0.9023447433179586,6,0.2
52,0.9019390087136724,5,0.8
49,0.9015479490322846,5,0.5
43,0.9012213845986157,4,1.0
66,0.9010782539083344,7,0.0
47,0.9009344921689287,5,0.30000000000000004
56,0.900836390359825,6,0.1
41,0.9003229791339413,4,0.8
42,0.9000368181732215,4,0.9
40,0.9000124373061628,4,0.7000000000000001
55,0.8999563868266831,6,0.0
46,0.8999563868266831,5,0.2
39,0.8998874207000622,4,0.6000000000000001
48,0.8997343186104428,5,0.4
53,0.8993758987942568,5,0.9
54,0.8993459922470082,5,1.0
31,0.8977450502763711,3,0.9
32,0.8966464285038104,3,1.0
36,0.8948698825569554,4,0.30000000000000004
45,0.8944174001721477,5,0.1
38,0.8934227368928431,4,0.5
29,0.8930307399663417,3,0.7000000000000001
30,0.8930307399663417,3,0.8
27,0.892400757452615,3,0.5
28,0.892400757452615,3,0.6000000000000001
26,0.8920420022045612,3,0.4
37,0.8919172085960512,4,0.4
34,0.8917974861273776,4,0.1
33,0.891578701026061,4,0.0
35,0.8915189328005834,4,0.2
44,0.8909595313522984,5,0.0
24,0.8906655126566632,3,0.2
25,0.8903976834062066,3,0.30000000000000004
10,0.8893219438983323,1,1.0
6,0.8893219438983323,1,1.0
9,0.8893219438983323,1,1.0
8,0.8893219438983323,1,1.0
7,0.8893219438983323,1,1.0
1,0.8893219438983323,1,1.0
5,0.8893219438983323,1,1.0
4,0.8893219438983323,1,1.0
3,0.8893219438983323,1,1.0
2,0.8893219438983323,1,1.0
12,0.8893219438983323,2,0.1
11,0.8893219438983323,2,0.0
0,0.8893219438983323,1,1.0
13,0.8893219438983323,2,0.2
14,0.8893219438983323,2,0.30000000000000004
15,0.8893219438983323,2,0.4
16,0.8893219438983323,2,0.5
22,0.8893219438983323,3,0.0
23,0.8886493978049013,3,0.1
17,0.8827322698832987,2,0.6000000000000001
21,0.878553600929363,2,1.0
18,0.8778987310429642,2,0.7000000000000001
19,0.8778987310429642,2,0.8
20,0.877371937219649,2,0.9
