,score,n_frames,min_coef
23,0.8663646056235876,3,0.1
24,0.862426354767153,3,0.2
20,0.8611620641721288,2,0.9
25,0.8573094624646425,3,0.30000000000000004
34,0.8556533327719154,4,0.1
15,0.854342459012239,2,0.4
0,0.8505044121082566,1,1.0
19,0.8502450610887436,2,0.8
18,0.8502202616834893,2,0.7000000000000001
21,0.849875821518302,2,1.0
22,0.8491622115758304,3,0.0
28,0.8484372085334269,3,0.6000000000000001
16,0.8480991831581749,2,0.5
12,0.8475464736900287,2,0.1
9,0.8471488500209627,1,1.0
1,0.8468105849440327,1,1.0
2,0.8463042800659825,1,1.0
6,0.8453627127252492,1,1.0
3,0.8451227259952109,1,1.0
33,0.8448797829092332,4,0.0
30,0.8426268963871617,3,0.8
17,0.8422627485945064,2,0.6000000000000001
35,0.8412564778247196,4,0.2
4,0.8407830755278255,1,1.0
27,0.8388411106654143,3,0.5
26,0.8387144714705613,3,0.4
7,0.8384536740400581,1,1.0
5,0.8383592685472037,1,1.0
11,0.8382033237403552,2,0.0
8,0.8377721406467449,1,1.0
13,0.8371998644756689,2,0.2
14,0.8361992985766202,2,0.30000000000000004
45,0.836181926578058,5,0.1
29,0.8359528959977005,3,0.7000000000000001
44,0.8355485519154879,5,0.0
10,0.8340495926407154,1,1.0
31,0.8327422699412365,3,0.9
36,0.8317884637175661,4,0.30000000000000004
32,0.830863564259249,3,1.0
46,0.8229920259496059,5,0.2
37,0.8219399920158992,4,0.4
55,0.8212154230720135,6,0.0
56,0.8191868470682954,6,0.1
41,0.8175628322615249,4,0.8
40,0.8172043023451572,4,0.7000000000000001
47,0.8170552987943862,5,0.30000000000000004
39,0.8132252737135275,4,0.6000000000000001
66,0.811552424769415,7,0.0
38,0.8109497215423449,4,0.5
48,0.8093992426923917,5,0.4
42,0.8054748803093513,4,0.9
43,0.8037884891156206,4,1.0
58,0.7966347377630086,6,0.30000000000000004
57,0.7958824702640751,6,0.2
49,0.7928249098779373,5,0.5
67,0.7868197028235906,7,0.1
59,0.7863994425056429,6,0.4
68,0.784534319558286,7,0.2
88,0.784243006848423,9,0.0
50,0.7842403677088974,5,0.6000000000000001
52,0.7840304354529118,5,0.8
53,0.7797315294730967,5,0.9
77,0.778862248008331,8,0.0
54,0.7780778696577496,5,1.0
51,0.7765717199309778,5,0.7000000000000001
60,0.77533120927036,6,0.5
78,0.7748408494332535,8,0.1
61,0.7737789213547884,6,0.6000000000000001
69,0.7727924129202218,7,0.30000000000000004
62,0.7690844053055972,6,0.7000000000000001
63,0.7670669037787415,6,0.8
89,0.7638634927942868,9,0.1
71,0.7634725095512498,7,0.5
80,0.756862541903473,8,0.30000000000000004
79,0.7549298343699846,8,0.2
99,0.7549051279473896,10,0.0
72,0.7542706622157461,7,0.6000000000000001
70,0.7535376976946826,7,0.4
65,0.7507690343197885,6,1.0
82,0.7496380625997932,8,0.5
64,0.7455291528894776,6,0.9
90,0.743308285629697,9,0.2
73,0.7429703326678307,7,0.7000000000000001
81,0.7428165364380532,8,0.4
100,0.7411061543887087,10,0.1
91,0.7407645859369634,9,0.30000000000000004
76,0.7391643239356716,7,1.0
75,0.7309824040863966,7,0.9
74,0.7281874033245337,7,0.8
83,0.7255675801336618,8,0.6000000000000001
101,0.7251460200847138,10,0.2
102,0.724505828376927,10,0.30000000000000004
92,0.7226548793289811,9,0.4
84,0.7196088991150503,8,0.7000000000000001
93,0.7172733129443007,9,0.5
86,0.7107346234688184,8,0.9
87,0.7089995232115902,8,1.0
85,0.7064099196605662,8,0.8
94,0.7040093145344983,9,0.6000000000000001
104,0.7011127262865954,10,0.5
103,0.6974007940946345,10,0.4
105,0.68430095518531,10,0.6000000000000001
95,0.6809297392723698,9,0.7000000000000001
107,0.6783737477336916,10,0.8
98,0.6733440262322998,9,1.0
108,0.6713824871744649,10,0.9
97,0.6708805448599675,9,0.9
96,0.6677145422009938,9,0.8
106,0.666568570819301,10,0.7000000000000001
109,0.6447142614037146,10,1.0
