,score,n_frames,min_coef
10,0.8950461164872301,1,1.0
12,0.8947138413129603,2,0.1
15,0.8946430942870538,2,0.4
14,0.8944237435388885,2,0.30000000000000004
7,0.8942382936082985,1,1.0
6,0.8914052030103582,1,1.0
9,0.891359353327184,1,1.0
1,0.8913442365695465,1,1.0
2,0.8912432067463326,1,1.0
5,0.8905911072107505,1,1.0
16,0.8905880235709661,2,0.5
8,0.8902503593801819,1,1.0
4,0.8901375633035933,1,1.0
13,0.8893017847088505,2,0.2
11,0.8870550481947082,2,0.0
3,0.8855723489399718,1,1.0
22,0.882449953205515,3,0.0
17,0.8819532987866303,2,0.6000000000000001
23,0.8818657955965812,3,0.1
0,0.8811556136331342,1,1.0
24,0.8661633504012457,3,0.2
32,0.8630601252275433,3,1.0
30,0.8628127378712813,3,0.8
25,0.8614467158203855,3,0.30000000000000004
44,0.8604185726958498,5,0.0
34,0.8601999196082566,4,0.1
31,0.8599126993963843,3,0.9
28,0.858532823644803,3,0.6000000000000001
29,0.8569910082920634,3,0.7000000000000001
20,0.8533572034542907,2,0.9
18,0.8529850775391614,2,0.7000000000000001
45,0.8520455555115577,5,0.1
37,0.8506878464191135,4,0.4
33,0.8498831707967884,4,0.0
26,0.8497668185382057,3,0.4
19,0.848666277497113,2,0.8
38,0.8482403672821134,4,0.5
36,0.8473482116257121,4,0.30000000000000004
21,0.8451530523520143,2,1.0
35,0.8423165602513428,4,0.2
40,0.8422687618416054,4,0.7000000000000001
55,0.8422214543693325,6,0.0
27,0.8413856353651556,3,0.5
57,0.8404938984768784,6,0.2
66,0.8379767652964887,7,0.0
46,0.8376838781444009,5,0.2
41,0.8333297460993269,4,0.8
56,0.8239790733848522,6,0.1
48,0.8237811490167196,5,0.4
47,0.8234083456704591,5,0.30000000000000004
52,0.8210055760112146,5,0.8
49,0.8196418626676507,5,0.5
42,0.8196200586991509,4,0.9
50,0.8173837790605246,5,0.6000000000000001
77,0.8170637927956468,8,0.0
67,0.816445895718495,7,0.1
39,0.8162695583037841,4,0.6000000000000001
43,0.8143562748422006,4,1.0
51,0.809823587007718,5,0.7000000000000001
53,0.8098072418220227,5,0.9
68,0.8097060535693406,7,0.2
58,0.8084779540511405,6,0.30000000000000004
88,0.8081076536300873,9,0.0
59,0.8076742111851687,6,0.4
78,0.8040011020759603,8,0.1
54,0.8016381519980191,5,1.0
69,0.800741200244293,7,0.30000000000000004
63,0.7995956676793703,6,0.8
60,0.7962670865664293,6,0.5
62,0.7955224041577631,6,0.7000000000000001
99,0.7953205447298152,10,0.0
79,0.7932079460451492,8,0.2
61,0.7924955776809551,6,0.6000000000000001
89,0.7901752350327762,9,0.1
65,0.7864819843563471,6,1.0
70,0.7861703164330106,7,0.4
64,0.7852735944239917,6,0.9
80,0.781728278332257,8,0.30000000000000004
71,0.7814864724910158,7,0.5
72,0.777275805384213,7,0.6000000000000001
81,0.7768204785628833,8,0.4
73,0.7718756111415097,7,0.7000000000000001
74,0.7709050204162563,7,0.8
100,0.7688857892993473,10,0.1
90,0.7671236882322068,9,0.2
93,0.7563844629429957,9,0.5
92,0.7562833008137559,9,0.4
101,0.7545672477476273,10,0.2
84,0.7538227188993243,8,0.7000000000000001
82,0.7513150128192525,8,0.5
91,0.7495930544765492,9,0.30000000000000004
83,0.7484543604860239,8,0.6000000000000001
75,0.7477871780460645,7,0.9
102,0.7460232310587915,10,0.30000000000000004
103,0.7421471628243103,10,0.4
85,0.730474145944153,8,0.8
76,0.7291333851991328,7,1.0
86,0.7258094027233735,8,0.9
104,0.7238491143739137,10,0.5
94,0.7229343279065438,9,0.6000000000000001
87,0.7186792313773578,8,1.0
95,0.7175249947284705,9,0.7000000000000001
105,0.7109137674180424,10,0.6000000000000001
96,0.7096694800990984,9,0.8
97,0.705745704604932,9,0.9
108,0.6969160678453153,10,0.9
106,0.6929871048243401,10,0.7000000000000001
107,0.6926735756477814,10,0.8
98,0.6810388509586165,9,1.0
109,0.6807382466500114,10,1.0
