,score,n_frames,min_coef
14,0.9227823962070705,2,0.30000000000000004
3,0.9210950033475654,1,1.0
7,0.9210712808800181,1,1.0
11,0.9199346435298856,2,0.0
12,0.9196531876348703,2,0.1
8,0.919246436367428,1,1.0
5,0.9186740372583693,1,1.0
10,0.9176552696124064,1,1.0
2,0.917270722814556,1,1.0
13,0.9172240314380169,2,0.2
0,0.9167950502700848,1,1.0
4,0.9163797852899421,1,1.0
1,0.9156714687578578,1,1.0
6,0.9156498404024145,1,1.0
9,0.9135850405539291,1,1.0
18,0.9008386008005058,2,0.7000000000000001
16,0.8947969067219622,2,0.5
33,0.8945296269496492,4,0.0
25,0.8942684448466739,3,0.30000000000000004
15,0.8934631083458701,2,0.4
23,0.8934616233250947,3,0.1
24,0.8911319193576732,3,0.2
19,0.8900866853465541,2,0.8
17,0.8869372401840179,2,0.6000000000000001
22,0.8857760942970014,3,0.0
20,0.8847387962051114,2,0.9
28,0.8845347741167838,3,0.6000000000000001
26,0.8822064629464931,3,0.4
34,0.880481333246123,4,0.1
27,0.8796482026699742,3,0.5
21,0.8765253884769685,2,1.0
35,0.8751408876984377,4,0.2
29,0.8746423429888829,3,0.7000000000000001
44,0.8666741200406246,5,0.0
30,0.8630511862127644,3,0.8
36,0.8573599779625839,4,0.30000000000000004
31,0.8572184203070335,3,0.9
55,0.855006408462442,6,0.0
32,0.8536932998480026,3,1.0
56,0.8521789458700872,6,0.1
38,0.8499400606072616,4,0.5
42,0.8484267962711967,4,0.9
45,0.8483675537161242,5,0.1
39,0.8480543733744945,4,0.6000000000000001
40,0.8460993463710359,4,0.7000000000000001
37,0.8453981949802317,4,0.4
41,0.8444920181797402,4,0.8
46,0.8441441233604072,5,0.2
47,0.8421342778568782,5,0.30000000000000004
48,0.8398052178781829,5,0.4
43,0.8359364322735893,4,1.0
57,0.824002063462944,6,0.2
66,0.8210705537371238,7,0.0
52,0.8178354728108866,5,0.8
49,0.8168448463412987,5,0.5
50,0.8146903549816032,5,0.6000000000000001
78,0.8109161876360454,8,0.1
59,0.8100904665721682,6,0.4
58,0.80818307940283,6,0.30000000000000004
54,0.807467455424538,5,1.0
67,0.8064507911375027,7,0.1
77,0.8041649955311581,8,0.0
51,0.8021434812389797,5,0.7000000000000001
53,0.7988512548220044,5,0.9
60,0.7988175936805019,6,0.5
68,0.7940144823057196,7,0.2
69,0.792788762679584,7,0.30000000000000004
61,0.7923047023138496,6,0.6000000000000001
88,0.7918188202852481,9,0.0
63,0.7899195260619274,6,0.8
62,0.7845387011143091,6,0.7000000000000001
80,0.7808906016533695,8,0.30000000000000004
70,0.7779788194670412,7,0.4
89,0.7741417645738624,9,0.1
79,0.7717228142235648,8,0.2
64,0.7707162093422941,6,0.9
65,0.7658798601125374,6,1.0
72,0.765184973865756,7,0.6000000000000001
73,0.7600017746491059,7,0.7000000000000001
71,0.7594324387329083,7,0.5
81,0.7549062261398287,8,0.4
74,0.7547714925237371,7,0.8
90,0.7513679908408981,9,0.2
91,0.7510588331593768,9,0.30000000000000004
92,0.7485961212525098,9,0.4
75,0.745798757614074,7,0.9
82,0.7438887323796848,8,0.5
76,0.7348425027222951,7,1.0
83,0.7313858547652425,8,0.6000000000000001
84,0.7241125086614784,8,0.7000000000000001
85,0.723388770202182,8,0.8
86,0.720832757503618,8,0.9
93,0.7192755955132193,9,0.5
94,0.7091733884872917,9,0.6000000000000001
95,0.6963900782982846,9,0.7000000000000001
96,0.6901523375191368,9,0.8
87,0.6890176831029856,8,1.0
97,0.6880204108428816,9,0.9
98,0.6717650453067112,9,1.0
