,score,n_frames,min_coef
75,0.9230323302891501,7,0.9
32,0.9222295677753495,3,1.0
71,0.9217289339586541,7,0.5
56,0.9200058803314786,6,0.1
54,0.9194130590339892,5,1.0
64,0.9154376786097671,6,0.9
90,0.9150425747307661,9,0.2
30,0.914898900420507,3,0.8
102,0.9147086796086088,10,0.30000000000000004
49,0.9144544687849312,5,0.5
106,0.9140067673988522,10,0.7000000000000001
67,0.9127985298542827,7,0.1
59,0.9122278873824279,6,0.4
78,0.9119362698469686,8,0.1
82,0.9110993214269897,8,0.5
72,0.9107503142019272,7,0.6000000000000001
51,0.9103426309779057,5,0.7000000000000001
79,0.9102671391244825,8,0.2
74,0.9099310840769288,7,0.8
69,0.9097447134525783,7,0.30000000000000004
39,0.9096505401329533,4,0.6000000000000001
66,0.909618348625784,7,0.0
99,0.909613166646255,10,0.0
101,0.9089401320195982,10,0.2
76,0.9085595245813645,7,1.0
31,0.9079293668429728,3,0.9
98,0.9077480768270666,9,1.0
81,0.9063912836733821,8,0.4
109,0.9060615380093541,10,1.0
61,0.9056461986339943,6,0.6000000000000001
95,0.9047834156067935,9,0.7000000000000001
46,0.9047048262746212,5,0.2
41,0.9042707266822898,4,0.8
47,0.9042073687641565,5,0.30000000000000004
107,0.9037751979373383,10,0.8
43,0.9032151211472822,4,1.0
60,0.9032039476367748,6,0.5
52,0.9031568115209702,5,0.8
65,0.9031021118518876,6,1.0
53,0.9029989109088093,5,0.9
108,0.9028830578523586,10,0.9
28,0.9026228353623837,3,0.6000000000000001
62,0.9023788515804444,6,0.7000000000000001
89,0.9021563531742756,9,0.1
87,0.9017965735362827,8,1.0
25,0.9016529528752816,3,0.30000000000000004
103,0.9016376768493242,10,0.4
0,0.9009890119353752,1,1.0
70,0.9009487323243007,7,0.4
85,0.9009370107790892,8,0.8
96,0.9009163305078032,9,0.8
57,0.9007148637765091,6,0.2
92,0.9003535707407817,9,0.4
42,0.9003336908514459,4,0.9
5,0.8998615241159893,1,1.0
13,0.8996952779231158,2,0.2
58,0.8996644510801042,6,0.30000000000000004
24,0.8996246146178019,3,0.2
35,0.8991448933759629,4,0.2
48,0.8990599366543387,5,0.4
29,0.898989654561966,3,0.7000000000000001
91,0.8989645013014478,9,0.30000000000000004
36,0.8988612471328057,4,0.30000000000000004
1,0.8978840319001753,1,1.0
23,0.8975008453329483,3,0.1
83,0.8971020242783384,8,0.6000000000000001
77,0.8970990990647116,8,0.0
104,0.8965542898995906,10,0.5
40,0.8964351709857088,4,0.7000000000000001
80,0.8963832435858284,8,0.30000000000000004
63,0.896294609378878,6,0.8
44,0.8962204902338883,5,0.0
3,0.8956912049236397,1,1.0
38,0.8953800202398796,4,0.5
100,0.8952470722414754,10,0.1
50,0.895232639790368,5,0.6000000000000001
88,0.8949580484566706,9,0.0
105,0.8947486488750368,10,0.6000000000000001
8,0.894373221406801,1,1.0
26,0.8929270414123641,3,0.4
11,0.8927881506802624,2,0.0
94,0.8927835670481155,9,0.6000000000000001
84,0.8926238700943454,8,0.7000000000000001
6,0.8917994996014368,1,1.0
93,0.8914480077294638,9,0.5
55,0.8911489521138354,6,0.0
33,0.8901022327750405,4,0.0
4,0.8900022426886421,1,1.0
86,0.8899461835697775,8,0.9
15,0.8887968656980652,2,0.4
97,0.888752616111487,9,0.9
27,0.887136534617739,3,0.5
2,0.8865510297502471,1,1.0
22,0.8864091050031586,3,0.0
45,0.8863565921581573,5,0.1
73,0.8853735358364665,7,0.7000000000000001
7,0.8845829633258673,1,1.0
10,0.8839906016595703,1,1.0
37,0.8839810369466876,4,0.4
68,0.8837591106730038,7,0.2
18,0.8833475635378767,2,0.7000000000000001
16,0.8833194872200032,2,0.5
19,0.8817436822709009,2,0.8
21,0.8813876046764685,2,1.0
14,0.8810802787263373,2,0.30000000000000004
12,0.8804489324991417,2,0.1
34,0.8800923133397642,4,0.1
9,0.8800580459985141,1,1.0
17,0.8743312015617082,2,0.6000000000000001
20,0.8722051278278051,2,0.9
