,score,n_frames,min_coef
21,0.8488967045873006,2,1.0
22,0.8468711380628478,3,0.0
17,0.8450220572028705,2,0.6000000000000001
25,0.8430849735759736,3,0.30000000000000004
19,0.8428746490207304,2,0.8
33,0.8401478347354899,4,0.0
44,0.8398241274668272,5,0.0
26,0.8387628505508633,3,0.4
30,0.838278367479121,3,0.8
18,0.8382643360467543,2,0.7000000000000001
24,0.8367884471311582,3,0.2
20,0.8359753196145949,2,0.9
15,0.8358449208198365,2,0.4
35,0.833940805012781,4,0.2
27,0.8332040796836946,3,0.5
29,0.8331553026762828,3,0.7000000000000001
23,0.8325115625056867,3,0.1
28,0.831657359651165,3,0.6000000000000001
16,0.8311525799659967,2,0.5
37,0.8299920847954316,4,0.4
34,0.8295639050510605,4,0.1
31,0.8285546567266495,3,0.9
55,0.82835091582444,6,0.0
38,0.8270787466288685,4,0.5
47,0.8251998174774122,5,0.30000000000000004
10,0.8232045469743973,1,1.0
45,0.822983465066413,5,0.1
12,0.8222428407151245,2,0.1
48,0.821693498772954,5,0.4
36,0.8209815376423505,4,0.30000000000000004
0,0.8202406526774395,1,1.0
7,0.8196363989671529,1,1.0
1,0.8196061161256954,1,1.0
56,0.8192502959685376,6,0.1
2,0.8189373400520449,1,1.0
32,0.8183273428103774,3,1.0
13,0.8176265088432915,2,0.2
39,0.816485951788753,4,0.6000000000000001
3,0.8163190989683136,1,1.0
40,0.815371803219301,4,0.7000000000000001
46,0.8152646836332658,5,0.2
14,0.8150978394712256,2,0.30000000000000004
5,0.8148758085731597,1,1.0
9,0.8121361328100397,1,1.0
4,0.8095184875594057,1,1.0
8,0.8092847924663488,1,1.0
41,0.8091615022345815,4,0.8
6,0.8091085803637025,1,1.0
11,0.8081627594095535,2,0.0
42,0.8060260360132696,4,0.9
66,0.8056665222962085,7,0.0
57,0.7924031347101693,6,0.2
68,0.7897630370525098,7,0.2
67,0.7892365990782372,7,0.1
54,0.7825186589764178,5,1.0
69,0.782185372124179,7,0.30000000000000004
77,0.780406151917278,8,0.0
51,0.7797253986242259,5,0.7000000000000001
78,0.7792052840972532,8,0.1
43,0.7786810599866104,4,1.0
52,0.7770535377525832,5,0.8
59,0.776430212343864,6,0.4
49,0.77598007705983,5,0.5
50,0.7712675853926518,5,0.6000000000000001
58,0.7699744622015229,6,0.30000000000000004
61,0.7692887076698909,6,0.6000000000000001
60,0.7680421460313975,6,0.5
53,0.7671719183705159,5,0.9
62,0.7670155977137049,6,0.7000000000000001
70,0.7645029807305184,7,0.4
90,0.7627701272699868,9,0.2
63,0.7617120317023707,6,0.8
99,0.7606016847876812,10,0.0
73,0.7593262670106598,7,0.7000000000000001
72,0.7574392947487938,7,0.6000000000000001
80,0.7562827969445526,8,0.30000000000000004
79,0.756027515428374,8,0.2
89,0.7558818645374333,9,0.1
88,0.754967378912518,9,0.0
64,0.7538400060132326,6,0.9
91,0.7478762238756008,9,0.30000000000000004
71,0.7461959618984297,7,0.5
65,0.7460656503200814,6,1.0
81,0.7454178469539288,8,0.4
100,0.7409110850515553,10,0.1
101,0.7384442881848614,10,0.2
76,0.7383294112358014,7,1.0
75,0.7382323649308822,7,0.9
74,0.7378158476246368,7,0.8
82,0.7340591205353401,8,0.5
92,0.7327338573080903,9,0.4
93,0.732436972192773,9,0.5
83,0.7320698782967978,8,0.6000000000000001
84,0.7284192252869424,8,0.7000000000000001
102,0.7281533636073881,10,0.30000000000000004
86,0.7187967128204031,8,0.9
85,0.7184577507670487,8,0.8
103,0.7126242497536701,10,0.4
94,0.7075055311542089,9,0.6000000000000001
104,0.706337409181627,10,0.5
95,0.6891728215766812,9,0.7000000000000001
87,0.6886127366769896,8,1.0
97,0.6817212745844332,9,0.9
105,0.6814308119268645,10,0.6000000000000001
96,0.678425616217294,9,0.8
98,0.6783092022585872,9,1.0
107,0.676489051936081,10,0.8
106,0.6742175778373236,10,0.7000000000000001
108,0.6638374641431897,10,0.9
109,0.6630535368372839,10,1.0
