,score,n_frames,min_coef
18,0.9241852923329678,2,0.7000000000000001
14,0.9238783881098872,2,0.30000000000000004
19,0.9238040699537506,2,0.8
50,0.9230907902771344,5,0.6000000000000001
39,0.9226426537024895,4,0.6000000000000001
68,0.9214964384459344,7,0.2
34,0.9211595566021089,4,0.1
13,0.9210886883680931,2,0.2
40,0.9210823982761717,4,0.7000000000000001
31,0.9207613772487123,3,0.9
22,0.9206509201472489,3,0.0
6,0.9205507879163145,1,1.0
3,0.9204003737354121,1,1.0
55,0.9203032019030083,6,0.0
1,0.9200062941581368,1,1.0
23,0.9198810129905508,3,0.1
38,0.9197388575312099,4,0.5
56,0.9197126738559709,6,0.1
41,0.9196407524353999,4,0.8
2,0.9195890615641072,1,1.0
67,0.9195153774551699,7,0.1
16,0.9194965399720338,2,0.5
12,0.9193517465200867,2,0.1
21,0.9192761502107913,2,1.0
20,0.9189458373525181,2,0.9
28,0.9187103783137763,3,0.6000000000000001
5,0.9186889863808961,1,1.0
9,0.9185614114957721,1,1.0
11,0.9184657696872682,2,0.0
45,0.9183265610681776,5,0.1
54,0.9183049421202092,5,1.0
48,0.9181599233124089,5,0.4
26,0.917925157832418,3,0.4
33,0.9173775733426519,4,0.0
77,0.917255038243997,8,0.0
10,0.9172124737655093,1,1.0
49,0.9170771418961687,5,0.5
8,0.9170735050628508,1,1.0
51,0.9170694395268033,5,0.7000000000000001
58,0.9170387871713128,6,0.30000000000000004
52,0.916971568124124,5,0.8
46,0.9169028897981839,5,0.2
29,0.9168715087629687,3,0.7000000000000001
24,0.9168157010536955,3,0.2
61,0.9167798271672016,6,0.6000000000000001
25,0.9167403756278787,3,0.30000000000000004
7,0.9162313335975295,1,1.0
4,0.916202423980917,1,1.0
73,0.9161717866390913,7,0.7000000000000001
15,0.9160871185722639,2,0.4
42,0.9157104175494016,4,0.9
37,0.9154464732850801,4,0.4
0,0.9154405476875074,1,1.0
36,0.9153865700144616,4,0.30000000000000004
89,0.9153264483948835,9,0.1
75,0.9151520697406145,7,0.9
63,0.9150884966271462,6,0.8
69,0.9149385649973238,7,0.30000000000000004
72,0.914806448076042,7,0.6000000000000001
80,0.9147912275537392,8,0.30000000000000004
59,0.9146631403925184,6,0.4
65,0.9146391420851329,6,1.0
17,0.9146218814571105,2,0.6000000000000001
47,0.9145125384456811,5,0.30000000000000004
79,0.9139695336871748,8,0.2
74,0.9138657248763771,7,0.8
44,0.9136836939470878,5,0.0
57,0.9135760238038884,6,0.2
85,0.9135657181352521,8,0.8
30,0.9135481720360359,3,0.8
60,0.9133853326614032,6,0.5
78,0.9133716004631871,8,0.1
43,0.9131290073370643,4,1.0
27,0.9130714732700067,3,0.5
99,0.9129738243679812,10,0.0
88,0.9127419215504962,9,0.0
32,0.9126676314344342,3,1.0
87,0.9123572492846093,8,1.0
64,0.9123129145442708,6,0.9
62,0.9120058115180184,6,0.7000000000000001
81,0.9119619723992877,8,0.4
71,0.9116835494145148,7,0.5
100,0.9114319130772172,10,0.1
53,0.9113850210814458,5,0.9
90,0.9107110182595284,9,0.2
66,0.9104493903134516,7,0.0
70,0.9100826885164732,7,0.4
95,0.9098791514576992,9,0.7000000000000001
103,0.909724059013244,10,0.4
84,0.9095403384875922,8,0.7000000000000001
76,0.9092150494668895,7,1.0
35,0.9091849130796573,4,0.2
96,0.9091545216191477,9,0.8
91,0.9087986680008866,9,0.30000000000000004
86,0.9086278877008386,8,0.9
102,0.9080849898775272,10,0.30000000000000004
98,0.9072770264667153,9,1.0
82,0.9064135230462667,8,0.5
94,0.9063975784079965,9,0.6000000000000001
83,0.9058688791544579,8,0.6000000000000001
93,0.9055795575272227,9,0.5
106,0.9047855235740416,10,0.7000000000000001
105,0.9045553017742944,10,0.6000000000000001
104,0.9037967803493828,10,0.5
97,0.9037956411751947,9,0.9
107,0.9036363175175426,10,0.8
108,0.903521676499593,10,0.9
92,0.9025160859835782,9,0.4
109,0.9025089984124086,10,1.0
101,0.9001071249447442,10,0.2
