,score,n_frames,min_coef
9,0.9329758024374188,1,1.0
13,0.929137755534712,2,0.2
6,0.9238285338896789,1,1.0
0,0.9222758321159237,1,1.0
14,0.9210598598452702,2,0.30000000000000004
4,0.9182131861325171,1,1.0
12,0.9176730817488522,2,0.1
7,0.9172738421787582,1,1.0
2,0.9165843173761214,1,1.0
3,0.916002390064703,1,1.0
30,0.9149166441595004,3,0.8
1,0.9145105724606445,1,1.0
11,0.9130718465536194,2,0.0
5,0.9124512642300537,1,1.0
24,0.9124061151223346,3,0.2
23,0.9094012720527347,3,0.1
15,0.9088519190124694,2,0.4
25,0.9082527927955214,3,0.30000000000000004
17,0.9052301607866318,2,0.6000000000000001
26,0.9042011631762523,3,0.4
10,0.9029595097484023,1,1.0
8,0.9029038706391648,1,1.0
21,0.9027935054307383,2,1.0
16,0.9017936343538077,2,0.5
35,0.9012367020632684,4,0.2
19,0.9010109409999801,2,0.8
22,0.9004907190907507,3,0.0
34,0.896740564887393,4,0.1
60,0.896616151281864,6,0.5
28,0.8952462489912557,3,0.6000000000000001
50,0.8939442416893255,5,0.6000000000000001
20,0.893057338855504,2,0.9
36,0.8923037291164979,4,0.30000000000000004
37,0.8914992751486558,4,0.4
44,0.8909225256028896,5,0.0
45,0.8904745601506214,5,0.1
53,0.8897340343987116,5,0.9
27,0.8894208337866096,3,0.5
33,0.888994834249431,4,0.0
43,0.8877281869533269,4,1.0
56,0.8870487824896969,6,0.1
18,0.8853183057459372,2,0.7000000000000001
46,0.884291738349593,5,0.2
55,0.8839126662810873,6,0.0
32,0.8836613045551592,3,1.0
29,0.8814227505659172,3,0.7000000000000001
39,0.8807528766251224,4,0.6000000000000001
61,0.8777968858316003,6,0.6000000000000001
47,0.8777233325664036,5,0.30000000000000004
67,0.877418810524372,7,0.1
77,0.8758667498450524,8,0.0
38,0.8746976237413492,4,0.5
31,0.8738896966759562,3,0.9
58,0.8734529595082885,6,0.30000000000000004
49,0.8728756194379738,5,0.5
54,0.8712962382552684,5,1.0
42,0.8703240928086181,4,0.9
41,0.8696127946127946,4,0.8
63,0.8684801866118821,6,0.8
59,0.868178074545999,6,0.4
83,0.8676984283769634,8,0.6000000000000001
51,0.8663027160874103,5,0.7000000000000001
88,0.8658100991768002,9,0.0
40,0.8656463350897656,4,0.7000000000000001
80,0.8654476301674038,8,0.30000000000000004
52,0.8644876200380368,5,0.8
73,0.8638638983410891,7,0.7000000000000001
65,0.8627129053611282,6,1.0
69,0.8586921148884258,7,0.30000000000000004
100,0.8584386480875322,10,0.1
62,0.8583437876531193,6,0.7000000000000001
75,0.8571168716406878,7,0.9
78,0.8569126575179858,8,0.1
48,0.8552263442250283,5,0.4
79,0.8551828940915968,8,0.2
72,0.854024350623513,7,0.6000000000000001
66,0.8539926005885583,7,0.0
74,0.8538154574807022,7,0.8
94,0.8534832617890782,9,0.6000000000000001
68,0.8532083220098439,7,0.2
64,0.8525500510763997,6,0.9
57,0.851502716064922,6,0.2
102,0.8505794448360323,10,0.30000000000000004
99,0.8500108631155306,10,0.0
92,0.8495320339682733,9,0.4
101,0.848135048807575,10,0.2
87,0.8470218455122044,8,1.0
89,0.8460828412494651,9,0.1
84,0.8443992710740135,8,0.7000000000000001
104,0.8421022241504861,10,0.5
70,0.8403473762010346,7,0.4
93,0.8403125157545007,9,0.5
85,0.8390861224555992,8,0.8
90,0.8390017891773903,9,0.2
76,0.8373978368556836,7,1.0
71,0.8357787977046106,7,0.5
109,0.8314527946203942,10,1.0
86,0.8268762306285449,8,0.9
81,0.8265039754897154,8,0.4
106,0.8264112107240262,10,0.7000000000000001
98,0.8254957673890917,9,1.0
95,0.8244298493268746,9,0.7000000000000001
82,0.8239234565299475,8,0.5
105,0.8211038336438939,10,0.6000000000000001
103,0.820851884541205,10,0.4
108,0.8194477942574444,10,0.9
96,0.8142899413157204,9,0.8
107,0.8108211703964766,10,0.8
91,0.8108020864247403,9,0.30000000000000004
97,0.8058706584981727,9,0.9
