,score,n_frames,min_coef
0,0.9117274518513456,1,1.0
13,0.9110022191358629,2,0.2
23,0.9025436835891382,3,0.1
9,0.9015144186183626,1,1.0
22,0.8975584281234908,3,0.0
15,0.8968766259935995,2,0.4
6,0.8868143112005809,1,1.0
5,0.8867221159796224,1,1.0
14,0.8861605704385227,2,0.30000000000000004
8,0.883871128577123,1,1.0
1,0.8823962258689851,1,1.0
11,0.8799420798282245,2,0.0
4,0.8797640655658941,1,1.0
16,0.877215009889421,2,0.5
7,0.8761541530187278,1,1.0
10,0.8748264348264347,1,1.0
17,0.8716963758611638,2,0.6000000000000001
3,0.8706740262250765,1,1.0
2,0.8705713574884021,1,1.0
12,0.8697297313404816,2,0.1
25,0.8422253044079486,3,0.30000000000000004
24,0.8308832222098033,3,0.2
19,0.8244867359213324,2,0.8
33,0.8151820067512651,4,0.0
18,0.8150297614711774,2,0.7000000000000001
21,0.8111936899316227,2,1.0
20,0.8068257195343564,2,0.9
27,0.7873507628356022,3,0.5
35,0.7857167606471013,4,0.2
26,0.7844614128135607,3,0.4
28,0.781824604705821,3,0.6000000000000001
45,0.7815838606652242,5,0.1
30,0.7742915123602545,3,0.8
29,0.7742501946690625,3,0.7000000000000001
36,0.7739617069093822,4,0.30000000000000004
34,0.7690075268818493,4,0.1
44,0.7665997565474992,5,0.0
31,0.7536125832851217,3,0.9
32,0.7469860478317816,3,1.0
37,0.7438569487680616,4,0.4
38,0.7401089475969653,4,0.5
46,0.7301570195489397,5,0.2
47,0.7300227858133546,5,0.30000000000000004
66,0.7250483183420365,7,0.0
56,0.716717125521382,6,0.1
41,0.7165127869270989,4,0.8
57,0.7137686249859305,6,0.2
39,0.7094040030048586,4,0.6000000000000001
48,0.7051564476742771,5,0.4
55,0.7018225827277605,6,0.0
49,0.7017999057153679,5,0.5
43,0.6965539826490872,4,1.0
40,0.6875362908329292,4,0.7000000000000001
42,0.6874083942520098,4,0.9
58,0.6849846523815886,6,0.30000000000000004
67,0.6759120996661514,7,0.1
52,0.6692462251323887,5,0.8
59,0.668097617596852,6,0.4
53,0.6669639029492942,5,0.9
60,0.6635940569523799,6,0.5
68,0.6630457969616518,7,0.2
88,0.6609806649106919,9,0.0
51,0.658283028505204,5,0.7000000000000001
70,0.6422764869115286,7,0.4
50,0.6380008907487953,5,0.6000000000000001
99,0.6369420587452448,10,0.0
77,0.6360350190648203,8,0.0
71,0.631724754648743,7,0.5
69,0.6276603189162732,7,0.30000000000000004
89,0.6275662185233759,9,0.1
79,0.6193973939670337,8,0.2
61,0.6146204177547283,6,0.6000000000000001
62,0.6123669024032615,6,0.7000000000000001
78,0.607002743819478,8,0.1
80,0.6068571040545897,8,0.30000000000000004
100,0.6061479151031389,10,0.1
90,0.5985628351071308,9,0.2
54,0.5837483232369063,5,1.0
64,0.579805475936188,6,0.9
73,0.5729476538453924,7,0.7000000000000001
81,0.5689430267054321,8,0.4
65,0.5682791827401322,6,1.0
63,0.5678978892157529,6,0.8
72,0.567866236797639,7,0.6000000000000001
91,0.5576296919503578,9,0.30000000000000004
83,0.5469034780426231,8,0.6000000000000001
101,0.5446997859897377,10,0.2
74,0.5431137785914426,7,0.8
102,0.5393473494165225,10,0.30000000000000004
103,0.5389161220043572,10,0.4
82,0.5380189046262922,8,0.5
92,0.5357703699118079,9,0.4
94,0.5254551125990792,9,0.6000000000000001
76,0.5087197996624748,7,1.0
84,0.5046505386530707,8,0.7000000000000001
93,0.4971428289940853,9,0.5
104,0.4969727047146402,10,0.5
85,0.4928523578103697,8,0.8
86,0.491620952443521,8,0.9
75,0.4877241279812212,7,0.9
106,0.4859850561119791,10,0.7000000000000001
95,0.4823937076568655,9,0.7000000000000001
97,0.47687227234912805,9,0.9
105,0.47176467810151373,10,0.6000000000000001
96,0.43711013056281606,9,0.8
108,0.42951201070448963,10,0.9
98,0.4292791578169729,9,1.0
87,0.4260099924285621,8,1.0
107,0.4121403324034179,10,0.8
109,0.3899114831317007,10,1.0
