,score,n_frames,min_coef
75,0.8657960603657056,7,0.9
95,0.8624564622179776,9,0.7000000000000001
49,0.8620618553297273,5,0.5
93,0.8615068780715334,9,0.5
64,0.8612309089964139,6,0.9
84,0.8612261206166281,8,0.7000000000000001
37,0.8606209595558921,4,0.4
73,0.8602879697562658,7,0.7000000000000001
106,0.8592324305633936,10,0.7000000000000001
32,0.8590706610868043,3,1.0
30,0.8589010927938967,3,0.8
38,0.8588855341219865,4,0.5
71,0.8585310901452387,7,0.5
65,0.8571294797424377,6,1.0
89,0.8563731130446597,9,0.1
87,0.8561464045806293,8,1.0
101,0.8560081508481334,10,0.2
86,0.8556372793594262,8,0.9
51,0.8550204508121514,5,0.7000000000000001
59,0.8549596914247692,6,0.4
46,0.8548442567283068,5,0.2
109,0.854582796819541,10,1.0
17,0.8545784648383984,2,0.6000000000000001
28,0.8545733247868146,3,0.6000000000000001
67,0.8545236342294306,7,0.1
74,0.8542951295702375,7,0.8
55,0.8540792873834816,6,0.0
53,0.8535194985616658,5,0.9
48,0.8528420513401672,5,0.4
35,0.8527776535952837,4,0.2
72,0.8525848632078551,7,0.6000000000000001
96,0.8525752791674235,9,0.8
62,0.8523825382514317,6,0.7000000000000001
91,0.8523293943731922,9,0.30000000000000004
54,0.8522558584434716,5,1.0
34,0.8522500921943301,4,0.1
16,0.8521424786848038,2,0.5
83,0.8520112864199021,8,0.6000000000000001
50,0.8517443028518624,5,0.6000000000000001
90,0.8514845885208446,9,0.2
44,0.851093553788302,5,0.0
102,0.8509565198256255,10,0.30000000000000004
97,0.8507707231009454,9,0.9
68,0.8504620238940708,7,0.2
57,0.8502491109374389,6,0.2
79,0.8502264974915631,8,0.2
78,0.8499867356093673,8,0.1
33,0.849984273176476,4,0.0
20,0.8499506523439108,2,0.9
52,0.8498814188989605,5,0.8
70,0.8498603018969064,7,0.4
100,0.8497459743173372,10,0.1
31,0.8497072607602874,3,0.9
42,0.8495389187747232,4,0.9
88,0.8491775019377679,9,0.0
41,0.8490798961379771,4,0.8
61,0.8489268972360806,6,0.6000000000000001
39,0.8483440945718422,4,0.6000000000000001
29,0.8483236844691089,3,0.7000000000000001
47,0.8482717352253134,5,0.30000000000000004
80,0.8482675166107821,8,0.30000000000000004
56,0.8482394872335621,6,0.1
69,0.8477972698778464,7,0.30000000000000004
108,0.847715756110553,10,0.9
99,0.8473698447009674,10,0.0
22,0.847107738669633,3,0.0
24,0.8467452983755253,3,0.2
85,0.8465172688139907,8,0.8
104,0.8462814489549986,10,0.5
40,0.8462196338280098,4,0.7000000000000001
92,0.8458824280557151,9,0.4
81,0.8458470715831311,8,0.4
25,0.8454017317899887,3,0.30000000000000004
82,0.8452452179211433,8,0.5
107,0.8451685152482986,10,0.8
77,0.8449467470005448,8,0.0
45,0.8448330396720871,5,0.1
19,0.8447468264667053,2,0.8
60,0.8441742564194745,6,0.5
76,0.8441535685374436,7,1.0
26,0.8435320426057533,3,0.4
103,0.843054814947411,10,0.4
27,0.8430100041320039,3,0.5
58,0.8426976560783604,6,0.30000000000000004
21,0.8415592045622772,2,1.0
66,0.8412059876622869,7,0.0
36,0.8410634734188769,4,0.30000000000000004
94,0.8404798436083022,9,0.6000000000000001
105,0.8389864748006902,10,0.6000000000000001
18,0.838636967208694,2,0.7000000000000001
23,0.8385922930575351,3,0.1
63,0.8377471124273693,6,0.8
43,0.8353677986885039,4,1.0
98,0.8349008994804328,9,1.0
15,0.8325885996771423,2,0.4
14,0.8251433927589659,2,0.30000000000000004
4,0.8191982640014803,1,1.0
1,0.8187739897459476,1,1.0
10,0.8182462447161782,1,1.0
3,0.8175195218903838,1,1.0
9,0.8168832552891321,1,1.0
11,0.8164591408956635,2,0.0
7,0.8159898897553027,1,1.0
8,0.8126633962604132,1,1.0
12,0.8120942190658414,2,0.1
5,0.8107003044144065,1,1.0
0,0.8087237637876059,1,1.0
13,0.8069210525223094,2,0.2
6,0.8050866065246776,1,1.0
2,0.8024496703727749,1,1.0
